session_id,customer_id,login_date,projects_added,likes_given,comment_given,inactive_status,bug_occured,session_projects_added,session_likes_given,session_comments_given,inactive_duration,bugs_in_session,session_duration
863765,12496,10/15/19,TRUE,FALSE,TRUE,TRUE,TRUE,3,0,4,2126,4,41
737055,23579,10/15/19,TRUE,FALSE,TRUE,TRUE,FALSE,2,0,4,787,0,265
874387,38459,10/15/19,TRUE,FALSE,TRUE,TRUE,FALSE,2,0,4,1310,0,1002
905141,23596,10/15/19,TRUE,TRUE,TRUE,TRUE,FALSE,2,7,5,2077,0,640
667092,29375,10/15/19,TRUE,TRUE,TRUE,TRUE,FALSE,1,22,3,16,0,1127
435292,14354,10/15/19,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,2,0,0,1367
463600,23457,10/15/19,TRUE,TRUE,TRUE,FALSE,FALSE,2,7,2,0,0,207
909692,29356,10/15/19,TRUE,FALSE,FALSE,TRUE,FALSE,3,0,0,433,0,2336
112122,10246,10/15/19,FALSE,TRUE,FALSE,FALSE,FALSE,0,14,0,0,0,2075
147762,87323,10/15/19,TRUE,TRUE,TRUE,TRUE,FALSE,4,11,5,1604,0,1553
883587,23404,10/15/19,TRUE,FALSE,TRUE,FALSE,FALSE,2,0,2,0,0,1138
908409,40235,10/15/19,FALSE,TRUE,FALSE,TRUE,FALSE,0,8,0,1597,0,1623
925195,12940,10/14/19,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,5,0,0,145
753352,43086,10/14/19,TRUE,FALSE,TRUE,FALSE,FALSE,3,0,1,0,0,1355
299736,38459,10/14/19,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,4,2376,0,2386
820853,29375,10/13/19,TRUE,FALSE,TRUE,FALSE,FALSE,1,0,3,0,0,1115
403173,98476,10/13/19,TRUE,FALSE,TRUE,FALSE,FALSE,2,0,1,0,0,2051
436046,51243,10/13/19,TRUE,TRUE,TRUE,TRUE,FALSE,2,19,2,1927,0,2253
929826,23083,10/13/19,TRUE,TRUE,FALSE,FALSE,TRUE,3,25,0,0,1,396
810196,38459,10/13/19,FALSE,TRUE,FALSE,TRUE,TRUE,0,6,0,1855,4,2264
102797,23985,10/13/19,FALSE,TRUE,TRUE,TRUE,TRUE,0,25,5,218,5,1190
608120,14354,10/13/19,TRUE,TRUE,TRUE,TRUE,TRUE,2,9,1,474,4,669
574792,29375,10/13/19,TRUE,TRUE,TRUE,TRUE,TRUE,1,16,4,220,2,2333
315117,40572,10/13/19,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,2,457,5,507
812596,93464,10/13/19,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,5,2002,0,810
848857,80746,10/13/19,TRUE,FALSE,TRUE,TRUE,TRUE,3,0,3,1514,4,2221
864133,14354,10/12/19,TRUE,FALSE,TRUE,TRUE,FALSE,2,0,5,1237,0,1485
854618,29375,10/12/19,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,3,1640,3,259
967732,40572,10/12/19,TRUE,FALSE,TRUE,TRUE,TRUE,2,0,4,290,4,861
354260,29375,10/12/19,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,4,1802,0,2306
173919,51243,10/12/19,TRUE,FALSE,FALSE,TRUE,FALSE,9,0,0,1532,0,1023
802529,23083,10/12/19,FALSE,TRUE,FALSE,TRUE,TRUE,0,13,0,1564,4,1872
23570,38459,10/12/19,FALSE,TRUE,TRUE,FALSE,FALSE,0,22,4,0,0,221
768035,23985,10/12/19,TRUE,TRUE,TRUE,FALSE,FALSE,1,11,1,0,0,241
363747,23404,10/11/19,FALSE,TRUE,TRUE,FALSE,FALSE,0,19,5,0,0,1264
924434,40235,10/11/19,FALSE,TRUE,TRUE,TRUE,FALSE,0,8,5,973,0,523
353787,73245,10/11/19,FALSE,TRUE,FALSE,FALSE,TRUE,0,1,0,0,5,623
351540,14354,10/11/19,TRUE,TRUE,TRUE,FALSE,TRUE,2,24,1,0,2,1627
796561,29375,10/11/19,TRUE,FALSE,TRUE,FALSE,FALSE,2,0,2,0,0,1009
934455,40572,10/11/19,TRUE,FALSE,TRUE,FALSE,FALSE,3,0,1,0,0,2133
613808,87323,10/11/19,TRUE,TRUE,TRUE,TRUE,FALSE,2,24,3,434,0,301
102067,23579,10/11/19,TRUE,TRUE,FALSE,FALSE,FALSE,3,26,0,0,0,298
281083,29375,10/11/19,TRUE,TRUE,FALSE,TRUE,FALSE,1,8,0,1367,0,1122
847651,34574,10/11/19,TRUE,TRUE,TRUE,FALSE,FALSE,3,20,4,0,0,738
503539,73245,10/11/19,TRUE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,2035
832306,87265,10/11/19,TRUE,TRUE,FALSE,TRUE,TRUE,3,24,0,716,4,1413
889677,23404,10/11/19,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,4,1757,1,1408
823096,23083,10/11/19,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,1429,2,665
130428,23404,10/10/19,TRUE,TRUE,FALSE,TRUE,FALSE,1,8,0,147,0,790
137925,34574,10/10/19,TRUE,FALSE,TRUE,FALSE,FALSE,1,0,4,0,0,750
693392,40235,10/10/19,TRUE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,1577
865938,73245,10/10/19,TRUE,FALSE,TRUE,TRUE,TRUE,3,0,4,1064,4,80
949140,23579,10/10/19,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,4,2192,5,2177
198765,12496,10/10/19,FALSE,TRUE,FALSE,FALSE,FALSE,0,5,0,0,0,511
139965,43057,10/10/19,FALSE,TRUE,TRUE,TRUE,TRUE,0,12,4,305,3,1205
135112,87265,10/10/19,TRUE,TRUE,FALSE,FALSE,FALSE,1,1,0,0,0,228
84773,87265,10/10/19,TRUE,TRUE,TRUE,TRUE,FALSE,1,21,3,2305,0,2395
336050,73524,10/10/19,TRUE,TRUE,TRUE,FALSE,TRUE,3,14,1,0,1,1826
495864,43549,10/10/19,TRUE,TRUE,TRUE,TRUE,TRUE,5,6,5,534,1,312
661082,93464,10/10/19,TRUE,FALSE,FALSE,TRUE,TRUE,2,0,0,1524,2,1512
875307,23404,10/10/19,TRUE,TRUE,TRUE,TRUE,TRUE,1,5,5,806,3,1088
296502,40235,10/10/19,FALSE,TRUE,TRUE,TRUE,FALSE,0,2,4,2480,0,911
196926,80746,10/9/19,TRUE,FALSE,TRUE,TRUE,TRUE,3,0,2,495,4,970
117013,23404,10/9/19,FALSE,TRUE,TRUE,TRUE,FALSE,0,14,2,501,0,606
751775,40235,10/9/19,TRUE,FALSE,FALSE,TRUE,TRUE,1,0,0,1611,4,1185
320716,73245,10/9/19,TRUE,TRUE,TRUE,TRUE,TRUE,3,8,3,659,4,1844
844006,14354,10/9/19,TRUE,FALSE,TRUE,TRUE,FALSE,3,0,3,738,0,2199
339010,29356,10/9/19,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,3,2025,3,1095
738680,73245,10/9/19,TRUE,TRUE,TRUE,TRUE,TRUE,3,25,4,361,4,2260
860219,14354,10/9/19,TRUE,FALSE,TRUE,FALSE,FALSE,3,0,3,0,0,1029
674512,29375,10/9/19,TRUE,FALSE,TRUE,FALSE,FALSE,3,0,1,0,0,1879
624736,40572,10/9/19,TRUE,TRUE,TRUE,FALSE,TRUE,3,26,4,0,3,632
736353,87323,10/8/19,TRUE,FALSE,FALSE,TRUE,TRUE,1,0,0,1047,1,1561
33604,43057,10/8/19,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,5,0,2,2147
873781,87265,10/8/19,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,3,0,2,1023
203676,73524,10/8/19,TRUE,TRUE,TRUE,FALSE,TRUE,3,20,1,0,3,368
403473,43549,10/8/19,TRUE,TRUE,TRUE,FALSE,FALSE,2,14,4,0,0,329
95038,93464,10/8/19,TRUE,TRUE,FALSE,TRUE,TRUE,2,27,0,1818,4,1175
687916,34574,10/8/19,TRUE,TRUE,TRUE,TRUE,TRUE,4,16,5,1043,3,238
91201,12940,10/8/19,FALSE,TRUE,TRUE,TRUE,TRUE,0,26,1,1527,3,1847
42216,43086,10/7/19,TRUE,FALSE,FALSE,TRUE,TRUE,2,0,0,2437,5,2228
872877,38459,10/7/19,TRUE,TRUE,TRUE,FALSE,FALSE,1,21,4,0,0,1138
437487,23548,10/7/19,FALSE,TRUE,FALSE,FALSE,FALSE,0,12,0,0,0,1327
306564,29375,10/7/19,TRUE,TRUE,TRUE,FALSE,TRUE,2,26,2,0,2,2107
327733,93486,10/7/19,TRUE,TRUE,TRUE,FALSE,FALSE,2,21,1,0,0,872
321330,96254,10/7/19,TRUE,FALSE,TRUE,FALSE,FALSE,3,0,1,0,0,495
205332,23579,10/7/19,TRUE,TRUE,TRUE,FALSE,FALSE,2,20,1,0,0,955
573862,29375,10/7/19,FALSE,TRUE,TRUE,FALSE,FALSE,0,23,1,0,0,455
194870,29356,10/7/19,TRUE,TRUE,FALSE,TRUE,TRUE,2,21,0,1304,5,726
599260,29375,10/7/19,TRUE,TRUE,FALSE,TRUE,TRUE,1,7,0,10,1,1275
226978,98346,10/7/19,FALSE,TRUE,TRUE,TRUE,TRUE,0,3,3,1248,5,103
378958,19348,10/7/19,TRUE,TRUE,TRUE,TRUE,FALSE,1,22,1,2195,0,1565
885351,38459,10/7/19,TRUE,TRUE,TRUE,TRUE,FALSE,2,3,5,2324,0,1782
366662,76530,10/6/19,FALSE,TRUE,TRUE,TRUE,TRUE,0,8,3,616,2,2091
127132,38459,10/6/19,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,2,1860,4,974
267667,92736,10/6/19,TRUE,FALSE,TRUE,TRUE,TRUE,3,0,5,176,4,127
704918,87265,10/6/19,TRUE,TRUE,TRUE,TRUE,FALSE,2,17,4,850,0,2313
625573,73524,10/6/19,TRUE,FALSE,TRUE,TRUE,FALSE,2,0,1,935,0,121
225470,43549,10/6/19,FALSE,TRUE,TRUE,TRUE,TRUE,0,27,3,254,2,1998
419580,93464,10/6/19,TRUE,TRUE,FALSE,TRUE,FALSE,3,17,0,1797,0,1851
563300,23579,10/6/19,FALSE,TRUE,TRUE,FALSE,FALSE,0,25,5,0,0,2023
878079,20548,10/6/19,TRUE,TRUE,FALSE,TRUE,TRUE,3,25,0,1801,1,258
356244,98653,10/6/19,TRUE,TRUE,TRUE,FALSE,FALSE,2,7,4,0,0,2037
133256,10246,10/6/19,TRUE,TRUE,TRUE,TRUE,TRUE,3,16,3,315,2,389
611819,38459,10/6/19,TRUE,TRUE,TRUE,TRUE,FALSE,1,4,2,578,0,1661
558290,23404,10/5/19,FALSE,TRUE,FALSE,FALSE,TRUE,0,13,0,0,2,27
30840,40235,10/5/19,TRUE,FALSE,TRUE,FALSE,TRUE,1,0,1,0,5,1778
116296,96254,10/5/19,FALSE,TRUE,TRUE,FALSE,FALSE,0,22,2,0,0,250
760339,14354,10/5/19,TRUE,TRUE,TRUE,FALSE,FALSE,3,7,1,0,0,1555
812441,29375,10/5/19,TRUE,TRUE,TRUE,FALSE,FALSE,3,19,1,0,0,505
802454,40572,10/5/19,TRUE,TRUE,TRUE,TRUE,FALSE,3,20,1,1677,0,914
202421,87323,10/5/19,TRUE,TRUE,TRUE,FALSE,FALSE,2,26,1,0,0,761
888691,96254,10/5/19,TRUE,TRUE,FALSE,FALSE,FALSE,2,4,0,0,0,893
404553,12940,10/5/19,TRUE,TRUE,TRUE,TRUE,FALSE,2,26,3,113,0,1861
478264,43086,10/5/19,TRUE,TRUE,TRUE,FALSE,FALSE,1,6,4,0,0,2315
266445,38459,10/5/19,TRUE,TRUE,FALSE,FALSE,FALSE,2,27,0,0,0,61
155334,68754,10/5/19,TRUE,TRUE,TRUE,FALSE,FALSE,3,25,2,0,0,822
498699,29375,10/5/19,FALSE,TRUE,TRUE,FALSE,FALSE,0,13,2,0,0,1855
817608,12940,10/5/19,FALSE,TRUE,TRUE,TRUE,FALSE,0,26,5,338,0,2011
447031,43086,10/4/19,TRUE,TRUE,TRUE,TRUE,FALSE,1,13,3,160,0,312
585849,38459,10/4/19,TRUE,FALSE,TRUE,TRUE,FALSE,1,0,3,697,0,1170
708187,73245,10/4/19,FALSE,TRUE,TRUE,TRUE,FALSE,0,8,4,2357,0,1681
213972,14354,10/4/19,TRUE,TRUE,TRUE,TRUE,TRUE,3,24,5,1647,2,1263
941882,29375,10/4/19,TRUE,TRUE,TRUE,TRUE,FALSE,1,13,3,510,0,1458
429587,23404,10/4/19,FALSE,TRUE,TRUE,FALSE,FALSE,0,23,1,0,0,2222
401728,12940,10/4/19,FALSE,TRUE,TRUE,TRUE,FALSE,0,11,1,1543,0,557
84701,43086,10/4/19,FALSE,TRUE,FALSE,FALSE,FALSE,0,26,0,0,0,11
497529,38459,10/4/19,TRUE,TRUE,TRUE,FALSE,FALSE,2,11,3,0,0,1577
682794,23404,10/3/19,TRUE,TRUE,TRUE,TRUE,TRUE,2,11,4,2343,5,1956
557880,40235,10/3/19,TRUE,TRUE,TRUE,TRUE,FALSE,3,1,1,2428,0,1114
129065,96254,10/3/19,TRUE,FALSE,TRUE,TRUE,FALSE,3,0,2,287,0,1067
917614,14354,10/3/19,TRUE,TRUE,TRUE,TRUE,TRUE,3,11,1,2069,1,2079
384830,87323,10/3/19,TRUE,TRUE,TRUE,FALSE,TRUE,2,14,4,0,4,1277
204865,23404,10/3/19,TRUE,TRUE,TRUE,FALSE,TRUE,1,6,3,0,5,2184
442331,40235,10/3/19,FALSE,TRUE,TRUE,FALSE,FALSE,0,6,2,0,0,194
472912,73245,10/3/19,TRUE,TRUE,TRUE,FALSE,FALSE,3,14,1,0,0,1059
787162,14354,10/3/19,TRUE,TRUE,FALSE,FALSE,TRUE,2,23,0,0,2,1075
254033,29375,10/3/19,FALSE,TRUE,FALSE,FALSE,TRUE,0,2,0,0,3,640
119299,40572,10/2/19,FALSE,TRUE,TRUE,TRUE,TRUE,0,10,2,1639,2,1809
607914,87323,10/2/19,TRUE,FALSE,TRUE,FALSE,FALSE,3,0,4,0,0,711
993956,82963,10/2/19,TRUE,FALSE,FALSE,TRUE,FALSE,3,0,0,1345,0,1869
760757,43658,10/2/19,TRUE,TRUE,FALSE,TRUE,FALSE,3,10,0,518,0,522
187302,12407,10/2/19,TRUE,FALSE,FALSE,TRUE,FALSE,3,0,0,1749,0,464
109787,43096,10/1/19,TRUE,FALSE,FALSE,TRUE,FALSE,1,0,0,936,0,1172
582997,80746,10/1/19,TRUE,FALSE,TRUE,TRUE,FALSE,2,0,5,159,0,916
811956,14354,10/1/19,TRUE,FALSE,FALSE,TRUE,FALSE,2,0,0,1362,0,866
183387,29375,10/1/19,TRUE,FALSE,FALSE,TRUE,FALSE,2,0,0,518,0,2140
944212,40572,10/1/19,TRUE,TRUE,FALSE,TRUE,FALSE,3,13,0,1174,0,2255
558332,87323,10/1/19,TRUE,FALSE,FALSE,TRUE,FALSE,2,0,0,97,0,1692
643880,51243,10/1/19,TRUE,FALSE,FALSE,TRUE,FALSE,2,0,0,906,0,1990
844518,23083,10/1/19,TRUE,FALSE,FALSE,TRUE,FALSE,1,0,0,139,0,1113
933954,38459,10/1/19,TRUE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,306
,,,,,,,,,,,,,
,,,,,,,,,,,,,